id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22097777,The Golden Gate {private studio - Central Station},55406436,Dietrich & Sofie,,Amandus - Atheneum,51.22273,4.42091,Entire home/apt,77,2,450,2024-12-23,5.62,3,170,61,
22181904,Characteristic Attic/Suite Casa Zurenborg,6248736,Paolo,,Zurenborg,51.20612,4.43313,Private room,120,1,113,2024-12-21,1.33,1,71,17,
22191315,A- Toffe studio in het hart van het oude Antwerpen,135610682,Leentje,,Historisch Centrum,51.22154,4.40306,Entire home/apt,73,2,439,2024-12-23,5.13,4,324,55,
22284431,Familiewoning Boekenbergpark vlakbij Antwerpen,6235053,Sara,,Deurne Zuid Oost,51.19451,4.46521,Entire home/apt,,4,3,2018-07-30,0.04,1,0,0,
22538228,Ruim centraal gelegen huis met zonnig dakterras.,165547303,Dennis,,Harmonie,51.20584,4.40989,Entire home/apt,150,4,2,2024-07-27,0.16,1,115,2,
22668676,Kloosterstraat appartment Antwerpen,167012230,Carlo,,Sint-Andries,51.21539,4.39514,Entire home/apt,116,1,321,2024-12-22,4.63,2,92,49,
22742449,Cozy 2 bedroom apartement,110993942,Rev,,Amandus - Atheneum,51.21905,4.42292,Entire home/apt,139,2,22,2024-12-02,0.26,16,341,3,
22760259,D - Knusse studio met zicht op de kathedraal,135610682,Leentje,,Historisch Centrum,51.21955,4.40391,Private room,67,2,294,2024-12-24,3.48,4,354,38,
22924510,Cosy room in a relaxing home.,5413333,Karen,,Wilrijk Centrum,51.16494,4.38828,Private room,66,1,29,2024-12-15,0.97,1,89,12,
22993422,Design City Centre Apartment,170532458,Catherine,,Harmonie,51.20826,4.40887,Entire home/apt,61,2,375,2024-12-23,4.48,2,298,38,
23034489,Antwerp City Loft,166545900,Soetkin,,Historisch Centrum,51.22271,4.40322,Entire home/apt,,2,52,2024-11-03,0.66,1,2,4,
23049794,Roaring 20's Apartment,103947136,Charissa,,Theaterbuurt-Meir,51.21789,4.41036,Entire home/apt,274,1,58,2024-01-01,0.71,2,24,1,
23364073,Bright and sunny stylish House!,84498948,Klaar,,Harmonie,51.20511,4.4068,Entire home/apt,539,2,136,2024-11-10,1.64,2,106,14,
23392537,Charlie’s Loft (Bed and Breakfast),174166821,Charlie’S,,Zuid,51.21014,4.39615,Entire home/apt,238,1,12,2024-12-16,0.27,1,187,8,
23392809,Sincerely Yours!!,173362403,Meyrem,,Haringrode,51.2025,4.4278,Private room,50,2,41,2023-03-12,0.50,1,61,0,
23395109,Bright apartment in trendy Antwerp South district,6930093,"Ian, Jande En Marie",,Zuid,51.20776,4.39097,Entire home/apt,116,3,63,2024-06-02,0.76,4,175,1,
23444238,Simone's Kitchen B&B - Deluxe Double Room,110469250,Alistair,,Stadspark,51.207889556884766,4.41521692276001,Private room,94,1,41,2024-11-10,0.51,7,355,5,
23521144,Duchess,43658721,Nicole,,Harmonie,51.2064,4.40891,Entire home/apt,200,2,65,2024-10-20,0.79,1,129,11,
23524053,Simone's Kitchen B&B - Double Room,110469250,Alistair,,Stadspark,51.20886,4.41559,Private room,81,1,81,2024-02-13,0.98,7,334,1,
23755415,Feel Home,165968147,Ingrid,,Linkeroever,51.21834,4.38208,Private room,78,1,403,2024-12-22,5.01,1,356,70,
23786630,Modern and spacious studio in the City Centre-70m2,157495101,Tinka,,Historisch Centrum,51.22714,4.40228,Entire home/apt,95,2,255,2024-12-22,3.13,1,57,36,
24061523,"Beautiful, spacious house close to everything.",181144506,Frederik,,Amandus - Atheneum,51.2211,4.41803,Entire home/apt,,6,20,2021-09-30,0.25,1,0,0,
24112458,Ruime villa met zwembad Wilrijk,9766185,Sofie,,Middelheim,51.17589,4.41333,Entire home/apt,240,90,0,,,1,362,0,
24170223,Penthouse met uniek zicht op Antwerpen 15e etage,8508094,Bert,,Groenenhoek,51.20238,4.4433,Entire home/apt,,2,2,2020-02-09,0.03,1,1,0,
24419851,Cosy & spacious apartment at  trendy Antwerp South,22432864,Lenka,,Zuid,51.20753,4.38657,Entire home/apt,94,6,75,2024-12-15,0.92,1,290,25,
24445658,HighskyRom,184622414,Yassine,,Hoboken - Noord,51.18731,4.37303,Private room,,1,34,2023-08-13,0.42,1,0,0,
24486262,C - Perfecte locatie voor een perfect uitstapje,135610682,Leentje,,Historisch Centrum,51.22003,4.40253,Entire home/apt,72,2,298,2024-12-22,3.78,4,343,40,
24829527,Antwerp South - spatious one bedroom ap. for 2,48602699,Anthony,,Zuid,51.20903,4.38675,Entire home/apt,127,2,36,2024-12-09,0.45,1,343,6,
25023469,Het stulpje,184651827,Hans,,Oud - Berchem,51.19817,4.41595,Entire home/apt,450,2,30,2019-12-08,0.38,1,83,0,
