id;start_date;updated_date;survey_id;email;status;device_type;contact_id;contact_list_id;promotion_code;"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de préstamo (libros, partituras, audiovisuales)";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de cabinas de ensayo";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de préstamo de instrumentos musicales a domicilio";"1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de información general y especializada";1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Servicio de reprografía de documentos (fotocopias, digitalización);1_¿Cuáles de estos servicios utiliza habitualmente? Marque todos los que utilice__Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);"2_¿Ha utilizado el servicio de préstamo de documentos?
";3_Valore el servicio de préstamo de documentos;"4_¿Ha utilizado el servicio de reprografía de la biblioteca?
";"5_Valore el servicio de reprografía de la biblioteca
";6_¿Ha participado en alguna actividad organizada por la biblioteca (visitas guiadas, conciertos, talleres, exposiciones, conferencias, presentaciones, etc.?;7_Valore la actividad realizada;8_¿Conoce la página web de la biblioteca?;9_Valore la actualización de la información y los contenidos;10_Valore el acceso al catálogo en línea;11_Valore las búsquedas en el catálogo en línea;"12_El edificio y sus instalaciones 
";"13_El trato recibido por el personal
";14_El préstamo de instrumentos;15_La ordenación de la colección de libre acceso;16_La adecuación de la colección a sus necesidades;17_Tiempo de espera con el suministro de fondos desde el depósito;18_La información general y especializada recibida tras una consulta;19_¿Ha utilizado la red Wifi?;20_La calidad de la conexión a través de la red WiFi;21_Las condiciones de los instrumentos de las cabinas de ensayo;22_¿Cuál es su valoración general de la biblioteca y sus servicios?;23_¿Qué medidas sugiere para mejorar la calidad de los servicios de la biblioteca?;24_¿Cuál es su grupo de edad?;25_¿Cuál es su sexo?;Columna1
40865847;2023-11-07 14:13:39;2023-11-07 15:02:53;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;7;7;7;8;;8;8;8;8;8;No;;8;8;Que la puerta de la cabina al cerrarla suene menos;De 18 a 25 años;Mujer;
40869393;2023-11-07 16:25:48;2023-11-07 16:32:09;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;Sí;10;Sí;10;No;;No;;;;10;10;;;;;;No;;;8;;Más de 65 años;;
40869454;2023-11-07 16:32:09;2023-11-07 16:43:27;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;9;9;10;10;10;10;10;10;10;No;;9;10;Publicitar más los eventos y bajar el mínimo de personas para el acceso a sala de rock con batería a 2;De 18 a 25 años;Hombre;
40869527;2023-11-07 16:38:55;2023-11-07 16:43:35;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;10;10;No;;10;10;Se llenan mucho las cabinas individuales de pianode piano;De 18 a 25 años;Hombre;
40869529;2023-11-07 16:39:07;2023-11-07 16:40:20;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;7;9;9;9;8;9;9;No;;10;8;Señalizar mejor las instalaciones ;De 18 a 25 años;Hombre;
40869584;2023-11-07 16:44:54;2023-11-07 16:47:34;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;Sí;10;10;10;10;10;7;9;9;10;10;No;;5;10;Afinar/cambiar los pianos de las cabinas ;De 18 a 25 años;Hombre;
40869660;2023-11-07 16:52:26;2023-11-07 17:02:28;339096;;Parcial;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;No;;;;10;10;9;;;;;;;;;;;;
40869690;2023-11-07 16:54:37;2023-11-07 16:59:50;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;8;8;8;10;10;10;7;;;7;Sí;5;6;9;Aumentar las cabinas con piano, aunque no sean pianos de calidad, dejando claro que no son pianos para niveles avanzados. Los pocos pianos que hay pianos necesitan revisión.;De 26 a 40 años;Hombre;
40869876;2023-11-07 17:06:50;2023-11-07 17:09:35;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;Sí;10;Sí;10;8;8;10;10;10;10;10;10;10;Sí;10;10;10;Quizás más sitios para sentarse a leer;De 26 a 40 años;Hombre;
40870277;2023-11-07 17:36:53;2023-11-08 12:17:58;339096;;Completa;Tablet;;;;;Servicio de cabinas de ensayo;;;;;No;;;;;;;;;;;;;;;;;;;;10;Más tiempo, mascabinas y más afinacion;Más de 65 años;Hombre;
40870537;2023-11-07 18:00:38;2023-12-04 15:17:30;339096;;Parcial;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;7;Sí;5;Sí;6;Sí;5;6;7;6;;;;5;6;;Sí;7;6;9;;De 41 a 64 años;Hombre;
40871575;2023-11-07 19:57:46;2023-11-07 20:02:59;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;7;5;5;10;10;10;10;10;10;10;No;;10;10;Afinación y disponibilidad de más espacios con cabinas y micrófonos;De 41 a 64 años;Hombre;
40871582;2023-11-07 19:58:19;2023-11-07 20:36:32;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;9;10;7;6;7;8;10;No;;9;10;;De 26 a 40 años;Hombre;
40871698;2023-11-07 20:09:57;2023-11-07 20:11:26;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;10;10;No;;8;10;;De 18 a 25 años;Mujer;
40880071;2023-11-08 14:59:31;2023-11-08 15:03:22;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;9;9;9;9;9;9;9;No;;8;10;Que se puedan reservar cabinas de ensayo todos los días;De 18 a 25 años;Mujer;
40881527;2023-11-08 16:15:13;2023-11-08 16:21:04;339096;;Parcial;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40881931;2023-11-08 16:30:48;2023-11-08 16:33:24;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;Servicio de reprografía de documentos (fotocopias, digitalización);;Sí;9;Sí;8;No;;Sí;8;8;8;9;4;7;9;10;10;7;No;;7;7;El trato del personal;De 26 a 40 años;Hombre;
40882034;2023-11-08 16:35:02;2023-11-08 16:37:53;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;10;Sí;10;7;6;9;10;10;10;10;10;10;Sí;10;10;10;Que todas las cabinas de ensayo tengan espejo!;De 41 a 64 años;Mujer;
40883026;2023-11-08 17:24:34;2023-11-08 17:25:42;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;;;;;;;;;10;;;;;;;;;;10;;Más de 65 años;Hombre;
40883029;2023-11-08 17:24:52;2023-11-08 17:25:12;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40883052;2023-11-08 17:26:12;2023-11-08 17:27:35;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;;;Sí;;;;8;;;;;;;No;;8;8;;De 41 a 64 años;Hombre;
40883054;2023-11-08 17:26:16;2023-11-08 17:30:45;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;Sí;7;Sí;7;7;6;10;0;4;7;7;0;1;No;;7;8;Cuando quise afiliarme con una tarjeta para acceder a las salas de ensayos. Mi compañero y yo estuvimos horas, sí, horas esperando a que el personal que estaba disponible para atendernos. Nos hablara. Tal fue la manera en la que nos atendieron, que una amable señora del servicio de limpieza, fue la UNICA que nos ayudó a ubicar dónde hacer el trámite y fue la única que nos trató con decencia. Pareciera que no quieren dar este beneficio a los usuarios. Toda la alta calidad que pudieran tener, se pierde con ese trato. Ya nisiquieta visito ese teatro. Espero esta encuesta les sirva de algo. Saludos.;De 18 a 25 años;Mujer;
40883069;2023-11-08 17:27:11;2023-11-08 17:57:22;339096;;Parcial;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;No;;No;;No;;No;;;;7;8;;;;;;;;;;;;;
40883115;2023-11-08 17:29:38;2023-11-08 17:31:32;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;;;;;;;No;;;;8;10;;;;;;No;;10;8;;De 41 a 64 años;Hombre;
40883128;2023-11-08 17:30:09;2023-11-08 17:31:11;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;Sí;8;No;;;;10;10;10;10;10;10;10;No;;7;10;;De 18 a 25 años;Hombre;
40883135;2023-11-08 17:30:21;2023-11-08 17:32:18;339096;;Parcial;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;8;8;9;8;;;;;;9;;;;;
40883156;2023-11-08 17:31:51;2023-11-08 17:32:54;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;10;10;10;10;10;10;10;Sí;8;10;10;;De 18 a 25 años;Mujer;
40883164;2023-11-08 17:32:13;2023-11-08 17:34:28;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;No;;;;7;10;5;10;8;10;10;No;;8;9;"La temperatura en verano es excesiva en las cabinas de ensayo; algunos pianos dejaron atrás su mejor momento";Más de 65 años;Mujer;
40883169;2023-11-08 17:32:24;2023-11-08 17:33:06;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;10;10;10;10;10;10;Sí;10;10;10;;De 18 a 25 años;;
40883171;2023-11-08 17:32:27;2023-11-08 17:34:23;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;10;8;7;7;7;7;7;No;;7;8;dar mas mantenimiento a los pianos;De 41 a 64 años;Hombre;
40883176;2023-11-08 17:32:46;2023-11-08 17:38:00;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;;6;No;;;9;;9;10;10;;10;10;10;10;Sí;7;8;10;No puedo sugerir mejoras llevo poco tiempo asistiendo;De 41 a 64 años;Hombre;
40883177;2023-11-08 17:32:52;2023-11-08 17:37:19;339096;;Parcial;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;9;No;;Sí;7;Sí;8;8;8;7;7;;8;7;;8;Sí;7;5;8;Sería estupendo que el personal hablara tan bajito como los usuarios, en vez de a voces, tanto con los usuarios que se acercan a hacer una consulta, como por teléfono. A los bibliotecarios o auxiliares se les oye en toda la sala, de un extremo a otro, y no es necesario un volumen tan alto cuando se tiene al usuario enfrente, a menos de un metro de distancia. Impiden la concentración en la lectura.;De 41 a 64 años;Mujer;
40883187;2023-11-08 17:33:36;2023-11-08 17:36:14;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;8;;7;10;9;5;9;9;5;5;No;;9;10;;De 41 a 64 años;Hombre;
40883207;2023-11-08 17:35:01;2023-11-08 17:39:52;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;Sí;8;8;8;9;9;8;8;8;8;8;No;;9;9;Un espacio de comedor. Y un horario más amplio.;De 41 a 64 años;Mujer;
40883216;2023-11-08 17:35:38;2023-11-08 17:50:29;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;8;7;7;9;8;;;;;;No;;8;8;;De 18 a 25 años;Mujer;
40883217;2023-11-08 17:35:40;2023-11-08 17:36:28;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;;;;;;;;;;;;;;;;;;;;;;;
40883222;2023-11-08 17:38:29;2023-11-08 17:38:36;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;8;No;;No;;Sí;9;8;9;9;9;5;7;7;8;8;No;;8;8;;De 41 a 64 años;Hombre;
40883263;2023-11-08 17:39:05;2023-11-08 17:40:38;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;No;;;;10;10;10;10;10;10;10;No;;6;10;;De 41 a 64 años;Hombre;
40883286;2023-11-08 17:39:25;2023-11-08 17:41:15;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;8;9;7;8;7;8;8;No;;7;8;Ampliar el tiempo de ensayo a al menos 2 horas;De 26 a 40 años;Mujer;
40883295;2023-11-08 17:40:01;2023-11-08 17:52:05;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;10;Sí;10;10;10;10;10;10;10;10;10;10;No;;10;10;La biblioteca Musical es estupenda. Es un privilegio tener un servicio de este tipo en el centro de Madrid. Doy la enhorabuena a todo el personal y a la institución. Creo que debe seguir adelante para las sucesivas generaciones.;De 18 a 25 años;Hombre;
40883298;2023-11-08 17:40:25;2023-11-08 17:42:53;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;Sí;8;Sí;7;6;7;7;8;6;3;5;7;5;Sí;9;5;6;La accesibilidad a enchufes ;De 18 a 25 años;Mujer;
40883305;2023-11-08 17:40:48;2023-11-08 17:41:57;339096;;Parcial;Mobile;;;;;;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;9;Sí;8;9;9;9;10;;;;;;;;;;;;;
40883315;2023-11-08 17:41:22;2023-11-08 17:43:16;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;8;8;;9;10;10;;;;;No;;9;9;;De 41 a 64 años;Hombre;
40883342;2023-11-08 17:43:05;2023-11-08 17:53:14;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;No;;;;8;10;8;10;10;;;No;;10;9;La verdad es que no les he puesto 10 a todo para que no piensen que trabajo ahí y no tomen en cuenta mi encuesta. Ofrecen un servicio impecable en un lugar inmejorable.;De 41 a 64 años;Hombre;
40883407;2023-11-08 17:46:34;2023-11-08 17:47:50;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;;;Sí;;No;;;;8;8;8;8;8;8;;Sí;8;;;;De 41 a 64 años;Mujer;
40883430;2023-11-08 17:47:34;2023-11-08 17:51:12;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;9;No;;;;10;9;10;10;10;9;9;No;;9;10;Todo bien;De 41 a 64 años;Hombre;
40883496;2023-11-08 17:50:26;2023-11-08 17:54:06;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;10;No;;Sí;10;No;;;;10;10;;8;;;8;No;;;9;Que continúen las actividades.;Más de 65 años;Mujer;
40883548;2023-11-08 17:53:09;2023-11-08 18:00:37;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;10;Sí;10;10;10;10;8;10;10;10;10;10;No;;8;10;;De 41 a 64 años;Hombre;
40883567;2023-11-08 17:54:16;2023-11-08 17:57:28;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;3;No;;;;No;;;;9;5;;2;;;6;No;;;7;Más orden en el material y que se peguen las hojas y las portadas medio rotas.;De 26 a 40 años;Hombre;
40883616;2023-11-08 17:57:16;2023-11-08 18:00:25;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;No;;No;;Sí;8;No;;;;10;10;10;10;7;;;;;;9;;De 18 a 25 años;Mujer;
40883617;2023-11-08 18:02:59;2023-11-08 17:59:17;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;8;8;;;;;;Sí;;8;8;;De 26 a 40 años;Mujer;
40883631;2023-11-08 17:58:26;2023-11-08 18:01:39;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;9;9;9;9;10;7;9;Sí;8;8;10;;De 26 a 40 años;;
40883635;2023-11-08 17:58:46;2023-11-08 18:04:07;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;6;;0;;6;;6;No;;0;6;Informar de los servicios de los que disponen. ;De 41 a 64 años;Mujer;
40883692;2023-11-08 18:02:07;2023-11-08 18:09:26;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;Servicio de información general y especializada;;;Sí;7;Sí;;No;;Sí;8;7;7;10;8;;8;8;8;9;Sí;8;;9;Rogaría, por favor, que la biblioteca fuera un ESPACIO DE SILENCIO y de RESPETO ACÚSTICO. He detectado varias veces el volumen altísimo de conversaciones intranscendentales. Esto es innecesario y privado. Creo dice poco en favor de una biblioteca de referencia musical en España. En este sentido, usuarios en el mostrador deberían hacer algo parecido.;De 41 a 64 años;Hombre;
40883697;2023-11-08 18:02:34;2023-11-08 18:03:13;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;No;;;;;;;;;;;;;;;;;;
40883751;2023-11-08 18:06:02;2023-11-08 18:07:30;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;8;10;10;8;8;8;8;No;;8;9;;De 26 a 40 años;Hombre;
40883758;2023-11-08 18:06:39;2023-11-08 18:08:25;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;8;8;5;5;5;5;5;No;;5;8;;De 41 a 64 años;Mujer;
40883811;2023-11-08 18:09:29;2023-11-08 18:12:24;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;10;No;;Sí;10;Sí;10;10;10;9;10;;;;;;;;;9;Horario más amplio de cabina de coro;De 41 a 64 años;Hombre;
40883953;2023-11-08 18:19:46;2023-11-08 18:25:03;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;10;10;8;10;7;10;10;10;10;No;;;10;Que puedan ser reservados días consecutivos en las cabinas de estudio. Imposibilita el uso de los tres días en semana. Gracias;De 26 a 40 años;Hombre;
40884044;2023-11-08 18:23:10;2023-11-08 18:26:15;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;6;7;0;0;0;0;0;Sí;10;0;7;Insonorizar bien las cabinas de ensayo;De 26 a 40 años;Hombre;
40884069;2023-11-08 18:24:37;2023-11-08 18:45:05;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;Sí;10;No;;No;;No;;;;10;10;5;8;8;5;10;No;;10;10;Tal vez asesoramiento en el prestamo de partituras. ;De 26 a 40 años;;
40884072;2023-11-08 18:24:36;2023-11-08 18:26:11;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;Servicio de préstamo de instrumentos musicales a domicilio;;;;Sí;10;No;;No;;Sí;9;9;8;10;10;10;8;9;8;9;Sí;9;9;9;;De 26 a 40 años;Hombre;
40884117;2023-11-08 18:27:18;2023-11-08 18:31:05;339096;;Completa;Desktop;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;Sí;9;No;;;;8;7;5;8;8;7;8;No;;7;7;que se pueda asistir mas veces, la verdad es un servicio que utilizo seguido porque no puedo hacer ruido en mi edificio y muchas veces me quedo sin poder agendar porque no puedo ir dos dias seguidos. ;De 26 a 40 años;Mujer;
40884131;2023-11-08 18:27:56;2023-11-08 18:31:32;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;6;6;;;;;;;;;7;Las sesiones de ensayo en cabina de grupo son cortas....se podría ofrecer algunas sesiones de 2h;De 41 a 64 años;Hombre;
40884143;2023-11-08 18:28:22;2023-11-08 18:30:26;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;Sí;10;;10;10;10;10;10;10;10;10;No;;10;10;Todo perfecto ;De 41 a 64 años;Mujer;
40884146;2023-11-08 18:28:30;2023-11-08 18:29:24;339096;;Parcial;Mobile;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;Sí;7;7;7;9;;;;;;;;;;;;;;
40884166;2023-11-08 18:29:24;2023-11-08 18:29:49;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;;;;;;;;;;;;;;;;;;;;;
40884167;2023-11-08 18:29:25;2023-11-08 18:32:21;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;;;No;;;;2;5;;5;5;5;5;No;;1;5;Poder reservar todos los días,consecutivos. Hay veces que en teoria está todo reservado y ocupado y luego resulta que las cabinas están vacías ;De 26 a 40 años;Mujer;
40884198;2023-11-08 18:30:52;2023-11-08 18:33:06;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;9;1;9;8;9;10;9;No;;9;8;Más humanidad y empatía, sentido común, por parte del personal.;De 41 a 64 años;Mujer;
40884206;2023-11-08 18:31:25;2023-11-08 18:33:04;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;6;10;5;10;5;5;10;No;;4;8;;Menos de 18 años;;
40884227;2023-11-08 18:32:50;2023-11-08 18:36:24;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);No;;No;;No;;No;;;;10;10;9;10;10;10;10;No;;8;9;Revisión mas frecuente de los pianos ;Más de 65 años;Mujer;
40884231;2023-11-08 18:33:05;2023-11-08 18:38:15;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;7;No;;Sí;8;Sí;6;;;9;8;;6;;;5;Sí;4;9;8;Más formación para los empleados. Mejoras de la conexión de internet;De 41 a 64 años;Hombre;
40884260;2023-11-08 18:34:07;2023-11-08 18:36:53;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;Servicio de reprografía de documentos (fotocopias, digitalización);;No;;Sí;10;No;;;;;;10;10;8;10;10;10;10;No;;10;9;Aumentar el tiempo de estudio en las cabinas, y que se pueda asistir festivos y fines de semana;De 26 a 40 años;Hombre;
40884280;2023-11-08 18:35:03;2023-11-10 15:23:06;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;Actividades culturales (conciertos, talleres, visitas guiadas, exposiciones, conferencias, etc.);Sí;8;No;;;;;;;;8;8;6;8;7;7;8;No;;;7;;De 41 a 64 años;;
40884310;2023-11-08 18:36:08;2023-11-08 18:38:51;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;Servicio de información general y especializada;;;Sí;10;No;;No;;No;;;;9;10;10;10;10;0;10;Sí;10;10;10;Ampliar tiempo de devolución en algunos libros;De 26 a 40 años;Mujer;
40884321;2023-11-08 18:36:50;2023-11-08 18:40:06;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;10;;10;10;10;;10;;;10;No;;3;10;Solo tengo que sugerir que se afinen los pianos. Muchas gracias ;Más de 65 años;Mujer;
40884369;2023-11-08 18:39:51;2023-11-08 18:42:57;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;8;8;9;8;9;5;9;6;7;9;Sí;7;8;8;;De 41 a 64 años;Hombre;
40884397;2023-11-08 18:41:31;2023-11-08 18:47:17;339096;;Completa;Desktop;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;Sí;9;9;9;8;10;8;5;5;;;No;;6;8;Respecto a las cabinas de ensayo, los pianos en su mayoría están desafinados. Sería importante afinarlos. El servicio de las cabinas de ensayo es muy útil, en general está muy bien por poner una mejora diría que se pudiese ampliar el horario de ensayo hasta las 21:00-22:00 de forma que se pudiese alargar el tiempo de ensayo para cada persona a una hora y 45 minutos ó 2 horas.  ;De 26 a 40 años;Mujer;
40884414;2023-11-08 18:42:35;2023-11-08 18:44:51;339096;;Completa;Mobile;;;;;Servicio de cabinas de ensayo;;;Servicio de reprografía de documentos (fotocopias, digitalización);;No;;Sí;9;Sí;10;Sí;7;7;7;9;9;9;8;8;7;7;Sí;6;8;8;Añadir más cabinas de estudio;De 18 a 25 años;Mujer;
40884438;2023-11-08 18:43:59;2023-11-08 18:46:02;339096;;Completa;Mobile;;;;Servicio de préstamo (libros, partituras, audiovisuales);;;;;;Sí;8;No;;No;;No;;;;8;8;;;;;;;;;8;;De 41 a 64 años;Hombre;
40884495;2023-11-08 18:47:02;2023-11-08 18:48:36;339096;;Completa;Desktop;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;Sí;8;8;8;9;9;10;8;8;8;8;No;;8;9;;De 41 a 64 años;Hombre;
40884529;2023-11-08 18:49:42;2023-11-08 18:51:10;339096;;Completa;Mobile;;;;;;Servicio de préstamo de instrumentos musicales a domicilio;;;;No;;No;;No;;Sí;8;8;8;8;9;;8;;8;8;No;;7;8;;De 41 a 64 años;Hombre;
40884531;2023-11-08 18:49:42;2023-11-08 18:50:50;339096;;Parcial;Mobile;;;;;Servicio de cabinas de ensayo;;;;;No;;No;;No;;No;;;;8;7;0;;;;;;;;7;;;;
