MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,100;MINTBARRIO,C,10;NOMBRE_BAR,C,100;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TOTAL_ELEM,N,10,0;ESTADO,C,50
8799552;D1555-DEPORTIVA MARQUES DE CORBERA;15;CIUDAD LINEAL;151;VENTAS;05/04/22;AVENIDA;MARQUES DE CORBERA;4;20167853;4;ACTIVO
8799553;D1766-DEPORTIVA CHOZA DE CANALES;17;VILLAVERDE;174;LOS ROSALES;05/04/22;PLAZA;CHOZAS DE CANALES;1;11126886;5;ACTIVO
8799554;D1868-DEPORTIVA VILLA DE VALLECAS;18;VILLA DE VALLECAS;183;ENSANCHE DE VALLECAS;05/04/22;AVENIDA;VILLA DE VALLECAS;21;31001910;11;ACTIVO
8799601;D2160-DEPORTIVA PLAYA DE BARLOVENTO;21;BARAJAS;214;TIMON;05/04/22;CALLE;PLAYA DE BARLOVENTO;12;31033337;9;ACTIVO
8799633;D1163-DEPORTIVA CALLE VIA LUSITANA 3 (PARQUE EMPERATRIZ MARIA DE AUSTRIA 2);11;CARABANCHEL;117;ABRANTES;30/04/22;CALLE;VIA LUSITANA;3;31035183;6;ACTIVO
8799632;D1162-DEPORTIVA VIA LUSITANA CV PARQUE EMPERATRIZ MARIA DE AUSTRIA AREA 1;11;CARABANCHEL;117;ABRANTES;06/05/22;CALLE;VIA LUSITANA;3;31035183;8;ACTIVO
8799550;D1260-DEPORTIVA OLOF PALME;12;USERA;126;ZOFIO;05/04/22;AVENIDA;RAFAELA YBARRA;23;11086744;0;OPERATIVO
8781256;D1363-DEPORTIVA CALLE ARROYO DEL OLIVAR 49;13;PUENTE DE VALLECAS;133;PALOMERAS BAJAS;24/03/22;CALLE;ARROYO DEL OLIVAR;15;11095427;0;OPERATIVO
8914013;Zona Deportiva;14;MORATALAZ;143;MARROQUINA;;AVENIDA;Avenida del Doctor Garcia Tapia;125;;0;OPERATIVO
8914014;Zona Deportiva;14;MORATALAZ;143;MARROQUINA;;AVENIDA;Avenida del Doctor Garcia Tapia;125;;0;OPERATIVO
8914015;Zona Deportiva;14;MORATALAZ;143;MARROQUINA;;AVENIDA;Avenida del Doctor Garcia Tapia;125;;0;OPERATIVO
8914016;Zona Deportiva;14;MORATALAZ;143;MARROQUINA;;AVENIDA;Avenida del Doctor Garcia Tapia;125;;0;OPERATIVO
8775331;D0254-DEPORTIVA CALLE DEL BRONCE 5;02;ARGANZUELA;024;LEGAZPI;19/01/22;CALLE;BRONCE;5;31007293;0;OPERATIVO
8799607;D1261-DEPORTIVA GENERAL MARVA 53;12;USERA;125;MOSCARDO;06/05/22;CALLE;GENERAL MARVA;53;11084385;0;OPERATIVO
5653825;Área Deportiva CD_000025;04;SALAMANCA;043;FUENTE DEL BERRO;29/10/14;;;;;1;OPERATIVO
5653727;Área Deportiva CD_000054;03;RETIRO;035;LOS JERONIMOS;03/11/14;;;;;5;OPERATIVO
5653716;Área Deportiva CD_000055;03;RETIRO;035;LOS JERONIMOS;03/11/14;;;;;1;OPERATIVO
5653737;Área Deportiva CD_000001;03;RETIRO;035;LOS JERONIMOS;27/05/15;;;;;22;OPERATIVO
52131;D1351-Deportiva- AVENIDA  ENTREVIAS 92;13;PUENTE DE VALLECAS;131;ENTREVIAS;01/08/13;AVENIDA;ENTREVIAS;92;11088012;11;OPERATIVO
7928425;D1967-DEPORTIVA CALLE DE LA CALIZA 22;19;VICALVARO;193;VALDERRIVAS;06/05/21;CALLE;CALIZA;22;20180508;15;OPERATIVO
52108;D1150-DEPORTIVA AUTOVIA A-42 500SA (PARQUE EMPERATRIZ MARIA DE AUSTRIA);11;CARABANCHEL;117;ABRANTES;30/04/21;AVENIDA;PRINCESA JUANA DE AUSTRIA;43;20026320;63;OPERATIVO
7902175;D1160 - DEPORTIVA CALLE DE LOS MORALES 13;11;CARABANCHEL;116;BUENAVISTA;26/05/21;Calle de l;Morales;13;31001529;9;OPERATIVO
7248182;D1255-DEPORTIVA CALLE DE VALLANDES 9;12;USERA;125;MOSCARDO;17/11/20;CALLE;VALLANDES;9;20002236;8;OPERATIVO
7927289;D1259-DEPORTIVA AVENIDA DE LOS POBLADOS 169;12;USERA;127;PRADOLONGO;14/05/21;AVENIDA;POBLADOS;169;31007159;15;OPERATIVO
52141;D1453-Deportiva- CALLE DE ATENAS 6B;14;MORATALAZ;141;PAVONES;01/08/13;CALLE;ATENAS;6B;20129222;9;OPERATIVO
8799638;D1664-DEPORTIVA CALLE NICETO ALCALA ZAMORA CV CALLE ALBERTO DE PALACIOS;16;HORTALEZA;166;VALDEFUENTES;04/04/22;AVENIDA;NICETO ALCALA ZAMORA;3;31011039;12;OPERATIVO
52042;D0250- Deportiva PARQUE ENRIQUE TIERNO GALVAN;02;ARGANZUELA;024;LEGAZPI;05/04/21;;;;20000301;25;OPERATIVO
451569;D1051-Deportiva CUÑA VERDE LA LATINA;10;LATINA;101;LOS CARMENES;01/01/04;CALLE;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;5;31012806;3;OPERATIVO
451531;D1055-Deportiva PARQUE CARAMUEL;10;LATINA;101;LOS CARMENES;01/01/04;AVENIDA;CAPRICHOS;14;20148982;6;OPERATIVO
451542;D1056-Deportiva CALLE CUART DE POBLET, 19;10;LATINA;103;LUCERO;06/05/21;CALLE;CUART DE POBLET;19;31016351;18;OPERATIVO
52110;D1152-Deportiva - CALLE DEL HALCONERO DEL REY;11;CARABANCHEL;116;BUENAVISTA;06/05/21;AVENIDA;EURO;12A;31045888;16;OPERATIVO
52111;D1153-Deportiva - CALLE DE FERNANDO DELGADO 8;11;CARABANCHEL;114;VISTA ALEGRE;06/05/21;CALLE;FERNANDO DELGADO;8;11074893;13;OPERATIVO
7802522;D1158 - Deportiva - AVENIDA DEL EURO 16;11;CARABANCHEL;116;BUENAVISTA;01/01/24;AVENIDA;EURO;16;31031211;7;OPERATIVO
7764194;D1456- Deportiva - Calle Luis de Hoyos Sainz, 108;14;MORATALAZ;146;VINATEROS;01/01/04;Calle;Luis de Hoyos Sainz;108;11102891;7;OPERATIVO
52211;D1750-Deportivas - CALLE DE LA ESTEFANITA 62;17;VILLAVERDE;173;BUTARQUE;01/01/04;CALLE;ESTEFANITA;11;31035895;18;OPERATIVO
52212;D1751-Deportiva - CALLE DE BURJASOT 10;17;VILLAVERDE;172;SAN CRISTOBAL;01/01/04;CALLE;BURJASOT;6;11126090;4;OPERATIVO
7162223;D0101-Deportiva- PLAZA SANTA MARIA SOLEDAD TORRES ACOSTA (AREA 1);01;CENTRO;015;UNIVERSIDAD;13/02/19;;;;;6;ACTIVO
52213;D1753-Deportiva - CALLE DE LA TABERNERA DEL PUERTO 25;17;VILLAVERDE;175;ANGELES;05/04/15;CALLE;LA TABERNERA DEL PUERTO;25;31053320;3;ACTIVO
52214;D1754-Deportiva - CALLE DE LA TABERNERA DEL PUERTO 69;17;VILLAVERDE;175;ANGELES;05/04/15;CALLE;LA TABERNERA DEL PUERTO;71;31055514;5;ACTIVO
52215;D1755-Deportiva - CALLE DE LA CANCION DEL OLVIDO 52;17;VILLAVERDE;175;ANGELES;05/04/15;CALLE;LA CANCION DEL OLVIDO;52;11129069;10;ACTIVO
7248141;D1760 - Deportiva -CALLE ALGORA 2;17;VILLAVERDE;175;ANGELES;17/11/20;CALLE;ALCOCER;1;11128272;7;ACTIVO
7927322;D1762 - Deportiva - CALLE LA CANCION DEL OLVIDO 48;17;VILLAVERDE;175;ANGELES;03/06/21;CALLE;LA CANCION DEL OLVIDO;48;11129067;15;ACTIVO
3573466;D1856-Deportiva- CARRETERA DE VILLAVERDE A VALLECAS 289;18;VILLA DE VALLECAS;181;CASCO HISTORICO DE VALLECAS;20/10/13;CARRETERA;VILLAVERDE A VALLECAS;289;20180908;9;ACTIVO
3573333;D1853-Deportiva- CALLE DE BABILAFUENTE 2;18;VILLA DE VALLECAS;181;CASCO HISTORICO DE VALLECAS;20/10/13;CALLE;BABILAFUENTE;2;20170570;4;ACTIVO
3573350;D1852-Deportiva- CALLE DE BABILAFUENTE 1;18;VILLA DE VALLECAS;181;CASCO HISTORICO DE VALLECAS;20/10/13;CALLE;BABILAFUENTE;1;20170576;11;ACTIVO
4985933;D1857- Deportiva- POLIGONO UZP0104 ATALAYUELA, 152;18;VILLA DE VALLECAS;181;CASCO HISTORICO DE VALLECAS;01/06/18;CALLE;PERALES DEL RIO;14;31042406;6;ACTIVO
3573015;D1951-Deportiva- PASEO DEL POLIDEPORTIVO 148;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;23/10/13;PASEO;POLIDEPORTIVO;144;20154043;11;ACTIVO
6905562;D1959- Deportiva- CALLE DE LA VEREDA DEL PINAR 1;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;23/04/20;CALLE;VEREDA DEL PINAR;1;20047853;8;ACTIVO
4792806;D1955-Deportiva- CALLE DE CASALARREINA, 26D;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;12/12/17;AVENIDA;DAROCA;299;31041868;7;ACTIVO
4792812;D1957-Deportiva- CALLE DEL ABAD JUAN CATALAN 70;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;18/12/17;CALLE;ABAD JUAN CATALAN;70;31037333;8;ACTIVO
7144128;D1965- Deportiva- AVENIDA DE DAROCA 299, 28032 Madrid;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;17/09/20;AVENIDA;DAROCA;299;31041868;14;ACTIVO
7144275;D1963- Deportiva- CALLE DEL ABAD JUAN CATALAN 72;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;17/09/20;CALLE;ABAD JUAN CATALAN;70;31037333;9;ACTIVO
5195385;D1757-Deportiva - PASEO DE LOS FERROVIARIOS 11;17;VILLAVERDE;171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;25/09/19;CALLE;SULFATO;22E;20162505;8;ACTIVO
5224222;D1758-Deportiva - CALLE  TRANSVERSAL SEXTA 20;17;VILLAVERDE;171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;18/12/19;CALLE;TRANSVERSAL SEXTA;20;20161828;6;ACTIVO
7362864;D1759 - Deportiva -CALLE TRANSVERSAL SEXTA 10B;17;VILLAVERDE;171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;17/11/20;CALLE;TRANSVERSAL SEXTA;10B;20127343;10;ACTIVO
7761231;D1761-Deportiva - CALLE DE LAS LENGUAS 6;17;VILLAVERDE;171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;22/02/21;CALLE;LENGUAS;6G;31019468;7;ACTIVO
7903120;D1763 - Deportiva - CALLE DE AMADEO FERNANDEZ 11;17;VILLAVERDE;171;VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE;28/04/21;CALLE;AMADEO FERNANDEZ;11;11125656;7;ACTIVO
7862436;D1064-DEPORTIVA-NAVIA;10;LATINA;107;AGUILAS;22/04/21;CALLE;NAVIA;21;20137009;9;ACTIVO
7896349;D1066-DEPORTIVA SOLEDAD CAZORLA 20;10;LATINA;107;AGUILAS;20/05/21;CALLE;SOLEDAD CAZORLA;20;20020646;7;OPERATIVO
451442;D1053-Deportiva CALLE ROMPEDIZO, 15;10;LATINA;107;AGUILAS;01/01/04;CALLE;ROMPEDIZO;15;31008043;6;OPERATIVO
7143517;D0859-DEPORTIVA-PALAS DEL REY;08;FUENCARRAL - EL PARDO;086;VALVERDE;10/09/20;CALLE;PALAS DE REY;17;31044373;8;ACTIVO
7839105;D0861-DEPORTIVA-FROMISTA CV PALAS DEL REY;08;FUENCARRAL - EL PARDO;086;VALVERDE;24/03/21;CALLE;FROMISTA;15 A;31012691;7;ACTIVO
3569210;D0854-Deportiva CALLE MARIA DE MAEZTU, 108 C/V SENDA DEL INFANTE;08;FUENCARRAL - EL PARDO;087;MIRASIERRA;09/10/17;CALLE;MARIA DE MAEZTU;108;31052003;9;ACTIVO
451351;D0850-Deportiva PARQUE NORTE CARMEN TAGLE;08;FUENCARRAL - EL PARDO;085;LA PAZ;01/12/14;AVENIDA;MONFORTE DE LEMOS;8;20095286;3;ACTIVO
451353;D0851-Deportiva PARQUE NORTE;08;FUENCARRAL - EL PARDO;085;LA PAZ;01/12/15;AVENIDA;MONFORTE DE LEMOS;12;20095292;13;ACTIVO
5175231;D0855-Deportiva PARQUE DE BEGOÑA;08;FUENCARRAL - EL PARDO;086;VALVERDE;18/07/19;AVENIDA;LLANO CASTELLANO;3;11047058;5;ACTIVO
7125254;D0858 - Deportiva CALLE ISLAS JARVI 5;08;FUENCARRAL - EL PARDO;086;VALVERDE;01/06/20;CALLE;ISLAS JARVI;5;11047612;3;ACTIVO
3568711;D0852-Deportiva PARQUE NORTE 3 (ANTONIO LOPEZ AGUADO);08;FUENCARRAL - EL PARDO;085;LA PAZ;08/03/17;CALLE;PEDRO RICO;1;20103366;7;ACTIVO
8776080;D0869-DEPORTIVA CALLE PORTOMARIN;08;FUENCARRAL - EL PARDO;086;VALVERDE;27/10/21;CALLE;PORTOMARIN;21;31050947;3;ACTIVO
8799532;D0871-DEPORTIVA CALLE SANTIAGO DE COMPOSTELA;08;FUENCARRAL - EL PARDO;085;LA PAZ;29/03/22;CALLE;SANTIAGO DE COMPOSTELA;40;11045914;8;ACTIVO
8799549;D0959-DEPORTIVA PARQUE DE LA ERMITA;09;MONCLOA - ARAVACA;097;ARAVACA;05/04/22;PASEO;ERMITA;;;1;ACTIVO
5246180;Zona deportiva;09;MONCLOA - ARAVACA;091;CASA DE CAMPO;;PASEO;Paseo Puerta del Angel;1;;2;ACTIVO
7841427;D0952-DEPORTIVA-ARROYO POZUELO FRENTE VIRGEN DE LOS  ROSALES;09;MONCLOA - ARAVACA;097;ARAVACA;22/03/21;CALLE;VIRGEN DE LOS ROSALES;42;20125594;8;ACTIVO
3568708;D0950-Deportiva AMPLIACION PARQUE ARROYO  POZUELO;09;MONCLOA - ARAVACA;097;ARAVACA;25/01/06;CALLE;ESCULTOR PERESEJO;60;20063772;11;ACTIVO
7853205;D0953-DEPORTIVA-LA SALLE JUNTO CEMENTERIO;09;MONCLOA - ARAVACA;095;VALDEMARIN;29/03/21;AVENIDA;VALDEMARIN;109;20166358;7;ACTIVO
8799606;D0960-DEPORTIVA AVD TALGO 1;09;MONCLOA - ARAVACA;097;ARAVACA;25/03/22;AVENIDA;TALGO;1;20172160;6;ACTIVO
5653877;Área Deportiva CD_000007;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653881;Área Deportiva CD_000006;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;3;OPERATIVO
5653890;Área Deportiva CD_000008;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653903;Área Deportiva CD_000015;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653899;Área Deportiva CD_000011;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;2;OPERATIVO
5653905;Área Deportiva CD_000016;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653907;Área Deportiva CD_000028;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653914;Área Deportiva CD_000042;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653933;Área Deportiva CD_000053;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653942;Área Deportiva CD_000045;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653960;Área Deportiva CD_000010;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;3;OPERATIVO
5653965;Área Deportiva CD_000048;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653967;Área Deportiva CD_000049;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;2;OPERATIVO
5653984;Área Deportiva CD_000051;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654006;Área Deportiva CD_000046;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;2;OPERATIVO
5654016;Área Deportiva CD_000044;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654037;Área Deportiva CD_000036;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654053;Área Deportiva CD_000033;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654057;Área Deportiva CD_000031;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5654059;Área Deportiva CD_000030;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653896;Área Deportiva CD_000014;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653901;Área Deportiva CD_000009;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;2;OPERATIVO
5653909;Área Deportiva CD_000029;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653924;Área Deportiva CD_000043;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;2;OPERATIVO
5653950;Área Deportiva CD_000041;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
5653963;Área Deportiva CD_000047;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;2;OPERATIVO
5653971;Área Deportiva CD_000050;09;MONCLOA - ARAVACA;093;CIUDAD UNIVERSITARIA;29/12/09;;;;;1;OPERATIVO
