alojamiento_tipo;categoria;denominacion;via_tipo;via_nombre;numero;bloque;portal;escalera;planta;puerta;cdpostal;localidad;signatura
HOTEL;3-HOTEL;GRAN LEGAZPI;PASEO;de la Chopera;71;;;;;;28045;Madrid;HM-127
PENSION;2-PENSION;ISABEL;CALLE;de la Salud;13;;;;3ª;;28013;Madrid;HM-132
HOSTAL;2-HOSTAL;BESAYA;CALLE;de San Bernardo;13;;;;8ª;;28015;Madrid;HM-139
HOSTAL;3-HOSTAL;ASTORIA II;CRA;de San Jerónimo;32;;;;4º;D;28014;Madrid;HM-142
HOSTAL;3-HOSTAL;ALHAMBRA;CALLE;de Espoz y Mina;6;;;;2;2;28012;Madrid;HM-143
CASA HUESPEDES;CASA HUESPEDES;WOOHOO HOSTAL MADRID;CALLE;de Concepción Arenal;6;;;;3;D;28004;Madrid;HM-146
HOSTAL;2-HOSTAL;CONDESTABLE;CALLE;de la Puebla;15;;;;2ª;;28004;Madrid;HM-147
HOSTAL;2-HOSTAL;HISPANO;CALLE;de Hortaleza;38;;;;2;;28004;Madrid;HM-158
HOSTAL;2-HOSTAL;DELFINA;CALLE;Gran Vía;12;;;;4º;;28013;Madrid;HM-167
PENSION;1-PENSION;CONCHITA II;CALLE;de Campomanes;10;;;;4;EXT_IZ;28013;Madrid;HM-173
HOSTAL;2-HOSTAL;GALAICO;CALLE;Gran Vía;15;;;;5º;D;28013;Madrid;HM-175
PENSION;2-PENSION;SPLENDID;CALLE;Gran Vía;15;;;;5º;A;28013;Madrid;HM-179
PENSION;1-PENSION;EUREKA;CALLE;de la Montera;7;;;;3;;28013;Madrid;HM-181
HOSTAL;2-HOSTAL;RIESCO;CALLE;del Correo;2;;;;3º 4º;;28012;Madrid;HM-189
HOSTAL;2-HOSTAL;LAMALONGA;CALLE;Gran Vía;56;;;;2ª;;28013;Madrid;HM-193
PENSION;3-PENSION;RINCON DE GRAN VIA;CALLE;Gran Vía;67;;;;8ª;;28013;Madrid;HM-199
HOTEL;3-HOTEL;SANCHO;PASEO;de las Delicias;56;;;;;;28045;Madrid;HM-205
HOSTAL;2-HOSTAL;MARLASCA;CALLE;de la Cruz;14;;;;2ª-3ª;;28012;Madrid;HM-210
PENSION;1-PENSION;FENIX;CALLE;de Concepción Arenal;6;;;;1;;28004;Madrid;HM-213
CASA HUESPEDES;CASA HUESPEDES;ALSINDA;CALLE;de Carretas;31;;;;3º;;28012;Madrid;HM-215
HOSTAL;2-HOSTAL;SAN MARTIN;CALLE;de Concepción Arenal;4;;;;4º;Dcha.;28004;Madrid;HM-217
HOSTAL;2-HOSTAL;AMERICA;CALLE;de Hortaleza;19;;;;4º-5º;;28004;Madrid;HM-218
HOSTAL;2-HOSTAL;GRAN VIA 44;CALLE;Gran Vía;44;;;;8º;Dcha.;28013;Madrid;HM-221
HOSTAL;2-HOSTAL;MARIA LUISA;CALLE;de Hortaleza;19;;;;2ª;;28004;Madrid;HM-224
HOSTAL;2-HOSTAL;VAZQUEZ DE MELLA;PLAZA;de Pedro Zerolo;1;;;;3ª;;28004;Madrid;HM-226
HOSTAL;3-HOSTAL;LISBOA;CALLE;de Ventura de la Vega;17;ENTERO;;;;;28014;Madrid;HM-230
HOSTAL;1-HOSTAL;MIAMI;CALLE;Gran Vía;44;;;;8º;Izda.;28013;Madrid;HM-232
HOSTAL;2-HOSTAL;ANDORRA;CALLE;Gran Vía;33;;;;7ª;;28013;Madrid;HM-236
HOSTAL;2-HOSTAL;LAURIA;CALLE;Gran Vía;50;;;;4ª;;28013;Madrid;HM-237
HOSTAL;2-HOSTAL;SOTILEZA;CALLE;del Arenal;15;;;;3º;;28013;Madrid;HM-239
HOTEL;3-HOTEL;NH ALONSO MARTINEZ;CALLE;de Santa Engracia;5;;;;;;28010;Madrid;HM-240
PENSION;1-PENSION;TERAN;CALLE;de Esparteros;10;;;;3;;28012;Madrid;HM-241
HOSTAL;2-HOSTAL;HOSTAL CHARLOTTE;CALLE;Gran Vía;44;;;;9;PTA. I;28013;Madrid;HM-243
HOSTAL;2-HOSTAL;LA SELECTA;CALLE;Gran Vía;15;;;;6ª;;28013;Madrid;HM-244
HOTEL;3-HOTEL;STERLING;CALLE;de San Bernardo;29;;;;;;28015;Madrid;HM-2
HOSTAL;2-HOSTAL;AMERICANO;PLAZA;de la Puerta del Sol;11;;;;3º 4º;;28013;Madrid;HM-5
HOTEL;4-HOTEL;ATLANTICO;CALLE;Gran Vía;38;;;;;;28013;Madrid;HM-10
HOTEL;4-HOTEL;VINCCI CAPITOL;CALLE;Gran Vía;41;;;;;;28013;Madrid;HM-13
HOSTAL;1-HOSTAL;PALACIO MADRID;CALLE;del Príncipe;18;;;;3;IZDA;28012;Madrid;HM-15
HOTEL;5-HOTEL;INTERCONTINENTAL MADRID;PASEO;de la Castellana;49;;;;;;28046;Madrid;HM-16
HOTEL;3-HOTEL;PETIT PALACE CALLAO;CALLE;de la Chinchilla;6;;;;;;28013;Madrid;HM-18
HOTEL;4-HOTEL;CARLTON;PASEO;de las Delicias;26;;;;;;28045;Madrid;HM-23
HOTEL;3-HOTEL;PETIT PALACE CHUECA;CALLE;de Hortaleza;3;;;;;;28004;Madrid;HM-27
HOSTAL;2-HOSTAL;BIARRITZ;CALLE;de la Victoria;2;;;;2º;;28012;Madrid;HM-33
HOSTAL;2-HOSTAL;SLEEP'N ATOCHA;CALLE;del Doctor Drumen;4;;;;2;;28012;Madrid;HM-35
HOTEL;5-HOTEL;HOTEL BARCELO EMPERATRIZ;CALLE;de López de Hoyos;4;;;;;;28006;Madrid;HM-36
HOTEL;4-HOTEL;EMPERADOR;CALLE;Gran Vía;53;;;;;;28013;Madrid;HM-37
HOTEL;3-HOTEL;EUROPA;CALLE;del Carmen;4;;;;;;28013;Madrid;HM-38
HOSTAL;2-HOSTAL;EXCELSIOR;CALLE;Gran Vía;50;;;;2º;;28013;Madrid;HM-39
HOTEL;5-HOTEL;GRAN MELIA FENIX;CALLE;de Hermosilla;2;;;;;;28001;Madrid;HM-40
HOSTAL;3-HOSTAL;GALICIA;CALLE;de Valverde;1;;;;4º;;28004;Madrid;HM-41
HOTEL;4-HOTEL;EUROSTARS CASA DE LA LIRICA;CALLE;de la Aduana;19;;;;;;28013;Madrid;HM-42
HOTEL;3-HOTEL;PETIT PALACE TRIBALL;CALLE;de Gonzalo Jiménez de Quesada;2;;;;;;28004;Madrid;HM-47
HOTEL;3-HOTEL;MEDIUM CORTEZO;CALLE;del Doctor Cortezo;3;;;;;;28012;Madrid;HM-50
HOTEL;3-HOTEL;PRINCIPE PIO;CUSTA;de San Vicente;14;;;;;;28008;Madrid;HM-51
HOTEL;4-HOTEL;AC AITANA;PASEO;de la Castellana;152;;;;;;28046;Madrid;HM-52
HOSTAL;3-HOSTAL;PEREDA;CALLE;de Valverde;1;;;;2º;;28004;Madrid;HM-56
HOTEL;3-HOTEL;REGINA;CALLE;de Alcalá;19;;;;;;;Madrid;HM-57
HOTEL;3-HOTEL;REGENTE;CALLE;de Mesonero Romanos;9;;;;;;28013;Madrid;HM-59
HOTEL;3-HOTEL;MODERNO;CALLE;del Arenal;2;;;;;;28013;Madrid;HM-61
HOTEL;4-HOTEL;MAYORAZGO;CALLE;de la Flor Baja;3;;;;;;28013;Madrid;HM-63
HOTEL;2-HOTEL;MEDIODIA;PLAZA;del Emperador Carlos V;8;;;;;;28012;Madrid;HM-64
HOTEL;3-HOTEL;PETIT PALACE LONDRES;CALLE;de Galdo;2;;;;;;28013;Madrid;HM-67
HOTEL;5-HOTEL;WESTIN PALACE;PLAZA;de las Cortes;7;;;;;;28014;Madrid;HM-71
HOTEL;2-HOTEL;MEXICO;CALLE;del Gobernador;24;;;;;;28014;Madrid;HM-77
HOTEL;3-HOTEL;PORCEL GANIVET;CALLE;de Toledo;111;;;;;;28005;Madrid;HM-78
HOSTAL;2-HOSTAL;EL PILAR;CALLE;de Carretas;13;;;;2º-3º;;28012;Madrid;HM-88
HOSTAL;3-HOSTAL;THE WALT MADRID;CALLE;del Barco;3;ENTERO;;;;;28004;Madrid;HM-92
HOTEL;3-HOTEL;T3 TIROL;CALLE;del Marqués de Urquijo;4;;;;;;28008;Madrid;HM-96
HOTEL;5-HOTEL;BLESS HOTEL MADRID;CALLE;de Velázquez;62;;;;;;28001;Madrid;HM-101
HOSTAL;2-HOSTAL;VERACRUZ II;CALLE;de la Victoria;1;;;;3º 4º;;28012;Madrid;HM-103
HOTEL;5-HOTEL;WELLINGTON;CALLE;de Velázquez;8;;;;;;28001;Madrid;HM-106
HOTEL;4-HOTEL;NH ZURBANO;CALLE;de Zurbano;79;;;;;;28003;Madrid;HM-108
HOTEL;4-HOTEL;SUECIA;CALLE;del Marqués de Casa Riera;4;;;;;;28014;Madrid;HM-109
HOTEL;3-HOTEL;NH SUR;PASEO;de la Infanta Isabel;9;;;;;;28014;Madrid;HM-111
HOTEL;2-HOTEL;FRANCISCO I;CALLE;del Arenal;15;;;;;;28013;Madrid;HM-115
HOTEL;5 estrellas L;RITZ MADRID;PLAZA;de la Lealtad;5;;;;;;28014;Madrid;HM-118
HOTEL;2-HOTEL;CASUAL MADRID DEL TEATRO;CALLE;de Echegaray;1;;;;;;28014;Madrid;HM-123
HOTEL;4-HOTEL;NH SANVY;CALLE;de Goya;3;;;;;;28001;Madrid;HM-124
CASA HUESPEDES;CASA HUESPEDES;PAlLACIOS;CALLE;de Atocha;28;;;;2º;DCHA;28012;Madrid;HM-932
HOSTAL;1-HOSTAL;ALEGRIA;CALLE;de Rafael de Riego;8;;;;5ª;;28045;Madrid;HM-934
PENSION;1-PENSION;ROFER;CALLE;de Toledo;94;;;;2;DCHA;28005;Madrid;HM-935
HOSTAL;2-HOSTAL;GONZALO;CALLE;de Cervantes;34;;;;3º;;28014;Madrid;HM-936
CASA HUESPEDES;CASA HUESPEDES;DOLCE VITA;CALLE;de San Bartolomé;4;;;;3;;28004;Madrid;HM-942
HOSTAL;2-HOSTAL;IVOR;CALLE;del Arenal;24;;;;2º;;28013;Madrid;HM-946
HOSTAL;2-HOSTAL;CASTILLA II;CALLE;del Marqués Viudo de Pontejos;2;;;;1ª;;28012;Madrid;HM-952
CASA HUESPEDES;CASA HUESPEDES;NERI;CALLE;de San Felipe Neri;4;;;;4º;DCHA;28013;Madrid;HM-959
PENSION;1-PENSION;ROYAL CRUZ;CALLE;de la Cruz;26;;;;3;dcha;28012;Madrid;HM-967
PENSION;1-PENSION;MERYORI;CALLE;Mayor;14;;;;2;Dcha;28013;Madrid;HM-968
CASA HUESPEDES;CASA HUESPEDES;NANDI;CALLE;de San Bernardino;8;;;;;;28015;Madrid;HM-979
CASA HUESPEDES;CASA HUESPEDES;LA PERLA;CALLE;de Leganitos;10;;;;4º;IZDA;28013;Madrid;HM-993
HOSTAL;1-HOSTAL;PORTELA;CALLE;de Sagasta;23;;;;2ª;;28004;Madrid;HM-999
HOSTAL;2-HOSTAL;ROBER;CALLE;del Arenal;26;;;;5º;D;28013;Madrid;HM-1000
CASA HUESPEDES;CASA HUESPEDES;LA SERRANA;CALLE;Mayor;41;;;;2º;IZDA;28013;Madrid;HM-1065
HOSTAL;1-HOSTAL;MILABI;CALLE;de Fernández de los Ríos;5;;;;2º;Izda.;28015;Madrid;HM-1072
CASA HUESPEDES;CASA HUESPEDES;YOLANDA;CALLE;de Luis Vélez de Guevara;8;;;;3º;DCHA;28012;Madrid;HM-1086
CASA HUESPEDES;CASA HUESPEDES;NUESTRA SEÑORA DEL PILAR;CALLE;del General Pardiñas;80;;;;4º;;;Madrid;HM-1115
CASA HUESPEDES;CASA HUESPEDES;MOLSAN;CALLE;del Pez;40;;;;2º y 4;;28004;Madrid;HM-1133
HOSTAL;1-HOSTAL;FALFES;CALLE;de Juan de Olías;15;ENTERO;;;;;28020;Madrid;HM-1156
HOSTAL;1-HOSTAL;FAUSTINO;CALLE;de la Cruz;33;;;;1º-2º;;28012;Madrid;HM-1159
CASA HUESPEDES;CASA HUESPEDES;FLORINDA;CALLE;del Barco;13;;;;3º;;28004;Madrid;HM-1177
PENSION;1-PENSION;FRANCO MADRILEÑA;CALLE;de Atocha;112;;;;3;izda;28012;Madrid;HM-1180
PENSION;1-PENSION;INTERNACIONAL;CALLE;de Echegaray;5;;;;2;DCHA;28014;Madrid;HM-1183
PENSION;1-PENSION;DELVI;PLAZA;de Santa Ana;15;;;;;;28012;Madrid;HM-1185
HOSTAL;1-HOSTAL;ORENSANA;CALLE;de Atocha;81;;;;2º;Dcha.;28012;Madrid;HM-1191
HOSTAL;2-HOSTAL;OPORTO;CALLE;de Zorrilla;9;;;;1º;;28014;Madrid;HM-1192
HOSTAL;2-HOSTAL;FELIPE V;CALLE;Gran Vía;15;;;;4;C y D;28013;Madrid;HM-1195
CASA HUESPEDES;CASA HUESPEDES;NUMANCIA;CALLE;de Fernández de los Ríos;5;;;;3º;izda;28015;Madrid;HM-1198
CASA HUESPEDES;CASA HUESPEDES;NUEVA MONTAÑA;CALLE;de la Luna;34;;;;2º;D;28004;Madrid;HM-1199
HOSTAL;2-HOSTAL;SANTILLAN;CALLE;Gran Vía;64;;;;8;DCHA.;28013;Madrid;HM-1211
HOSTAL;3-HOSTAL;ALHAMBRA SUITES;CALLE;de Espoz y Mina;8;;;;2º;C;28012;Madrid;HM-1217
HOSTAL;2-HOSTAL;CRUZ SOL;PLAZA;de Santa Cruz;6;;;;3º;3;28012;Madrid;HM-1227
CASA HUESPEDES;CASA HUESPEDES;MEMBIBRE;CALLE;de Fuencarral;41;;;;3º;DCHA;;Madrid;HM-1236
HOSTAL;2-HOSTAL;LA MACARENA;CALLE;de la Cava de San Miguel;8;;;;2º;;28005;Madrid;HM-1269
HOSTAL;1-HOSTAL;FERNANDEZ;CALLE;de Sánchez Bustillo;3;;;;1;DCHA;28012;Madrid;HM-1286
HOSTAL;2-HOSTAL;VILLAMAÑEZ;CALLE;de San Agustín;2;;;;2º;;28014;Madrid;HM-1309
HOSTAL;3-HOSTAL;SAN LORENZO;CALLE;de las Infantas;26;;;;2 3 4;;28004;Madrid;HM-1310
PENSION;1-PENSION;MUNDIAL;PASEO;de Santa María de la Cabeza;3;;;;1;;;Madrid;HM-1311
CASA HUESPEDES;CASA HUESPEDES;BUENO;CALLE;de Fuencarral;10;;;;41;DCHA;;Madrid;HM-1322
HOSTAL;2-HOSTAL;PERSAL;PLAZA;del Ángel;12;;;;Bj a 4;;28012;Madrid;HM-1328
HOSTAL;2-HOSTAL;CANTABRICO;CALLE;de la Cruz;5;;;;;;28012;Madrid;HM-1334
HOSTAL;1-HOSTAL;CUATRO POSTES;CALLE;de los Jardines;11;;;;2º;Dcha.;28013;Madrid;HM-1360
HOSTAL;3-HOSTAL;SANTO DOMINGO;CALLE;de la Luna;6;;;;2º 3º;IZDA;28004;Madrid;HM-1369
CASA HUESPEDES;CASA HUESPEDES;SAN JOSE;CALLE;de San José;8;;;;2º;;28014;Madrid;HM-1371
CASA HUESPEDES;CASA HUESPEDES;EL TERMINO;CALLE;de Bravo Murillo;253;;;;1º y 2;;;Madrid;HM-1380
HOSTAL;2-HOSTAL;GRECO;CALLE;de las Infantas;3;;;;2º;;28004;Madrid;HM-247
HOSTAL;3-HOSTAL;GRAN VIA 63 ROOMS;CALLE;Gran Vía;63;;;;5º;;28013;Madrid;HM-254
HOSTAL;1-HOSTAL;MADRID SOL;CALLE;del Príncipe;18;;;;4º;Izda.;28012;Madrid;HM-258
HOSTAL;1-HOSTAL;NARVAEZ;CALLE;de O'Donnell;27;;;;4º;Dcha.;28009;Madrid;HM-264
PENSION;1-PENSION;SUD AMERICANA;PASEO;del Prado;12;;;;6;izda;28014;Madrid;HM-266
PENSION;1-PENSION;MIRENTXU;CALLE;de Zorrilla;7;;;;3;;28014;Madrid;HM-269
HOSTAL;3-HOSTAL;MADRID;CALLE;de Esparteros;6;;;;2º;B;28012;Madrid;HM-270
PENSION;1-PENSION;ARCO IRIS;CALLE;de O'Donnell;27;;;;6;Dcha;;Madrid;HM-282
HOSTAL;1-HOSTAL;NUESTRA SEÑORA DE LAS MERCEDES;CALLE;Mayor;9;;;;2ª;;28013;Madrid;HM-283
HOSTAL;3-HOSTAL;JOSEFINA;CALLE;Gran Vía;44;;;;7º;;28013;Madrid;HM-299
HOSTAL;3-HOSTAL;GALIANO;CALLE;de Alcalá Galiano;6;;;;;;28010;Madrid;HM-301
PENSION;1-PENSION;TIRSO;PLAZA;de Tirso de Molina;13;;;;2;D;28012;Madrid;HM-302
HOSTAL;2-HOSTAL;MATHEU;CALLE;de la Victoria;6;;;;1ª;;28012;Madrid;HM-305
HOTEL;3-HOTEL;AVENIDA GRAN VIA;CALLE;de Mesonero Romanos;14;;;;;;28013;Madrid;HM-309
PENSION;2-PENSION;SANTILLAN II;CALLE;Gran Vía;64;;;;5º;Izda.;28013;Madrid;HM-310
HOSTAL;3-HOSTAL;TRIANA;CALLE;de la Salud;13;;;;1 2 3;;28013;Madrid;HM-318
HOTEL;2-HOTEL;MAVI;AVDA;de la Cabrera;8;;;;;;28751;Cabrera, La;HM-320
HOTEL;3-HOTEL;MERCEDES;CTRA;de Andalucía;15;;;;;;28300;Aranjuez;HM-324
HOSTAL;3-HOSTAL;PUERTO;CTRA;de Irún;92,500;ENTERO;;;;;28756;Somosierra;HM-327
HOSTAL;2-HOSTAL;EL SOLITARIO;AVDA;de Rosario Manzaneque;1;ENTERO;;;;;28250;Torrelodones;HM-329
HOSTAL;2-HOSTAL;VASCO;PLAZA;Santiago;11;;;;;;28200;San Lorenzo de El Escorial;HM-348
HOTEL;3-HOTEL;MIRANDA SUIZO;CALLE;Floridablanca;18;;;;;;28200;San Lorenzo de El Escorial;HM-350
HOTEL;1-HOTEL;PASADOIRO;CTRA;M-601 Villalba-Segovia;20;;;;;;28470;Cercedilla;HM-358
HOTEL;4-HOTEL;EXE VICTORIA PALACE;CALLE;Juan de Toledo;4;;;;;;28200;San Lorenzo de El Escorial;HM-368
HOTEL;4-HOTEL;ARCIPRESTE DE HITA;CTRA;Nacional 601;12;;;;;;28491;Navacerrada;HM-374
HOTEL;4-HOTEL;GRAN HOTEL LOS ANGELES;CTRA;Andalucía;14,200;;;;;;28906;Getafe;HM-381
HOSTAL;1-HOSTAL;CHOCOLATE;CALLE;de Joaquín María López;29;;;;1ª;;28015;Madrid;HM-389
HOSTAL;1-HOSTAL;PUERTA DEL SOL;PLAZA;de la Puerta del Sol;14;;;;4º;;28013;Madrid;HM-390
PENSION;1-PENSION;ALCALA;CALLE;de Alcalá;157;;;;4;;;Madrid;HM-399
HOSTAL;2-HOSTAL;ALISTE;CALLE;del Caballero de Gracia;6;;;;3ª;;28013;Madrid;HM-403
CASA HUESPEDES;CASA HUESPEDES;ASTURIAS;PASEO;de las Delicias;78;;;;2;C;28045;Madrid;HM-408
HOSTAL;1-HOSTAL;ALONSO;CALLE;de Espoz y Mina;17;;;;3ª;;28012;Madrid;HM-410
HOSTAL;2-HOSTAL;HOSTAL CC ATOCHA;PASEO;de Santa María de la Cabeza;21;;;;1;;28045;Madrid;HM-412
PENSION;2-PENSION;MARINA;CALLE;de Carretas;27;;;;2º;Izda.;28012;Madrid;HM-415
CASA HUESPEDES;CASA HUESPEDES;EL LEON DE ORO;CALLE;de la Cava Baja;12;ENTERO;;;;;28005;Madrid;HM-421
HOSTAL;1-HOSTAL;SARA;CALLE;de Atocha;55;;;;2ª;;28012;Madrid;HM-429
HOSTAL;2-HOSTAL;LA PERLA ASTURIANA;PLAZA;de Santa Cruz;3;;;;1 2 3;;28012;Madrid;HM-431
HOSTAL;1-HOSTAL;SANTA ISABEL;CALLE;de Santa Isabel;15;;;;4ª;;28012;Madrid;HM-434
PENSION;1-PENSION;ARCOS;CALLE;de la Salud;13;;;;5;dcha;28013;Madrid;HM-441
HOSTAL;1-HOSTAL;LOS ARCOS;CALLE;del Marqués Viudo de Pontejos;3;;;;2ª;;28012;Madrid;HM-442
PENSION;1-PENSION;LOS ANDES;CALLE;de Gaztambide;11;;;;1;dcha;;Madrid;HM-450
PENSION;1-PENSION;PELAEZ PEREZ;CALLE;de la Luna;32;;;;3;;28004;Madrid;HM-471
HOSTAL;1-HOSTAL;LUARCA;CALLE;de la Madera;3;;;;2ª;;28004;Madrid;HM-476
PENSION;1-PENSION;SAN JERONIMO;CRA;de San Jerónimo;32;;;;5;izda;28014;Madrid;HM-492
HOSTAL;1-HOSTAL;SAN ANTONIO;CALLE;del León;13;;;;2ª;;28014;Madrid;HM-504
CASA HUESPEDES;CASA HUESPEDES;GUERRERO;CALLE;de Hernán Cortés;7;;;;3º;IZDA;28004;Madrid;HM-507
HOSTAL;1-HOSTAL;DOS NACIONES;CALLE;del Conde de Romanones;8;;;;3º;Izda.;28012;Madrid;HM-525
CASA HUESPEDES;CASA HUESPEDES;MOLLO;CALLE;de Atocha;104;;;;4º;;28012;Madrid;HM-570
CASA HUESPEDES;CASA HUESPEDES;LA ASTURIANA;CALLE;de Ruiz;11;;;;1º;DCHA;;Madrid;HM-578
CASA HUESPEDES;CASA HUESPEDES;EMERITA;CALLE;de Santa María;41;;;;3º;IZDA;28014;Madrid;HM-591
CASA HUESPEDES;CASA HUESPEDES;MARY;CALLE;de la Ilustración;12;;;;4º;;28008;Madrid;HM-604
PENSION;1-PENSION;RETIRO;CALLE;de San Pedro;1;;;;2;;28014;Madrid;HM-614
CASA HUESPEDES;CASA HUESPEDES;LA CASERA;CALLE;de Grafal;14;;;;;;28005;Madrid;HM-622
CASA HUESPEDES;CASA HUESPEDES;CRIADO;CALLE;de Hortaleza;7;;;;2º;DCHA;28004;Madrid;HM-629
HOSTAL;2-HOSTAL;CATALAN;CALLE;de Hortaleza;17;;;;2º-3º;;28004;Madrid;HM-679
PENSION;2-PENSION;VAZQUEZ DE MELLA II;PLAZA;de Pedro Zerolo;1;;;;3;IZDA;28004;Madrid;HM-707
CASA HUESPEDES;CASA HUESPEDES;ADIS;CALLE;de la Puebla;14;;;;1;1;28004;Madrid;HM-709
CASA HUESPEDES;CASA HUESPEDES;CASTELLANA;CALLE;de la Luna;28;;;;3º;;28004;Madrid;HM-714
CASA HUESPEDES;CASA HUESPEDES;CASTELLANA;CALLE;de Carretas;31;;;;2º;;28012;Madrid;HM-715
HOSTAL;1-HOSTAL;MENDOZA;CALLE;de la Chinchilla;4;;;;1º;D;28013;Madrid;HM-717
HOSTAL;1-HOSTAL;COMERCIAL;CALLE;de Esparteros;12;;;;2ª;;28012;Madrid;HM-743
CASA HUESPEDES;CASA HUESPEDES;LA CONCEPCION;CALLE;de los Jardines;11;;;;3º;;28013;Madrid;HM-744
HOSTAL;1-HOSTAL;CONCHITA;PASEO;de las Delicias;154;;;;2,3 y4;;28045;Madrid;HM-746
HOSTAL;1-HOSTAL;CONCHITA;CALLE;de Preciados;33;;;;2ª;;28013;Madrid;HM-748
PENSION;1-PENSION;PAN AMERICA;CALLE;de Carretas;27;;;;3;izda;28012;Madrid;HM-766
HOSTAL;2-HOSTAL;JEMASACA;CALLE;de la Palma;61;;;;2ª;;28015;Madrid;HM-774
HOSTAL;2-HOSTAL;ESMERALDA;CALLE;de la Victoria;1;;;;2º;;28012;Madrid;HM-790
CASA HUESPEDES;CASA HUESPEDES;GIL RAMOS;CALLE;de la Luna;19;;;;2º;;28004;Madrid;HM-793
CASA HUESPEDES;CASA HUESPEDES;PRIETO;CALLE;de la Cruz;14;;;;1º;IZDA;28012;Madrid;HM-807
HOSTAL;2-HOSTAL;ADRIA;CALLE;de la Cruz;26;;;;4º;Izda.;28012;Madrid;HM-826
PENSION;1-PENSION;DEL MAR;CALLE;de la Luna;6;;;;2;dcha;28004;Madrid;HM-849
PENSION;1-PENSION;ANGELINES;CALLE;de Hilarión Eslava;12;;;;Bajo;C;;Madrid;HM-858
PENSION;1-PENSION;ISERTE;CALLE;de Fuencarral;16;;;;;;;Madrid;HM-881
PENSION;1-PENSION;NERSAN II;CALLE;de la Flor Baja;5;;;;4;;28013;Madrid;HM-884
PENSION;1-PENSION;DANIEL JV;CALLE;del Mesón de Paredes;13;;;;2;;28012;Madrid;HM-887
HOSTAL;1-HOSTAL;NIZA;CALLE;del Naranjo;2;;;;3ª;;28039;Madrid;HM-893
PENSION;1-PENSION;PATRIA;CALLE;Mayor;10;;;;4;izda;28013;Madrid;HM-897
PENSION;1-PENSION;PAZ;CALLE;de la Flora;4;;;;1;;28013;Madrid;HM-899
PENSION;2-PENSION;MADRID CITY ROOMS;CALLE;de la Cruz;6;;;;2ª;;28012;Madrid;HM-929
HOSTAL;1-HOSTAL;MH FUENCARRAL;CALLE;de Fuencarral;10;;;;3º;Dcha.;28004;Madrid;HM-1381
CASA HUESPEDES;CASA HUESPEDES;MADRIDCITO;CALLE;de la Montera;20;;;;4;IZQ.;28013;Madrid;HM-1382
HOSTAL;2-HOSTAL;GUERRA;CRA;de San Jerónimo;3;;;;3º;IZ DCH;28014;Madrid;HM-1383
PENSION;1-PENSION;HIGUERAS;CALLE;de Toledo;46;;;;2;dcha;28005;Madrid;HM-1390
CASA HUESPEDES;CASA HUESPEDES;HORIZONTE;CALLE;de Atocha;28;;;;2º;;28012;Madrid;HM-1392
HOSTAL;1-HOSTAL;LA ISLA;CALLE;del Prado;12;;;;1ª;;28014;Madrid;HM-1410
PENSION;1-PENSION;JQ;CALLE;de la Cruz;33;;;;3;dcha;28012;Madrid;HM-1421
PENSION;1-PENSION;SAN BLAS;CALLE;de Atocha;117;;;;bajo;1;28012;Madrid;HM-1430
HOSTAL;1-HOSTAL;CORUÑA;PASEO;del Prado;12;;;;3º;Dcha.;28014;Madrid;HM-1435
HOSTAL;1-HOSTAL;COSMOPOLITAN;PLAZA;de la Puerta del Sol;9;;;;3ª;;28013;Madrid;HM-1439
CASA HUESPEDES;CASA HUESPEDES;DIANA;CALLE;de Relatores;3;;;;2º;DCHA;28012;Madrid;HM-1446
CASA HUESPEDES;CASA HUESPEDES;LOGROÑESA;CALLE;de Pérez Galdós;4;;;;2º;D;28004;Madrid;HM-1484
HOSTAL;2-HOSTAL;LOS AMIGOS;CALLE;del Arenal;26;;;;3º 4º;IZDA.;28013;Madrid;HM-1487
CASA HUESPEDES;CASA HUESPEDES;BILBAO;CALLE;de San Bartolomé;7;;;;3º;DCHA;28004;Madrid;HM-1956
HOSTAL;2-HOSTAL;AEROPUERTO;AVDA;de Logroño;102;;;;BAJA;;28042;Madrid;HM-1975
CASA HUESPEDES;CASA HUESPEDES;CAMON;CALLE;de Andrés Mellado;31;;;;5;A y B;;Madrid;HM-2010
HOSTAL;2-HOSTAL;SAMARA;CALLE;de San Bartolomé;9;;;;;;28004;Madrid;HM-2018
CASA HUESPEDES;CASA HUESPEDES;ALICIA;CALLE;del Mesón de Paredes;5;;;;1º;D;28012;Madrid;HM-2019
HOTEL;3-HOTEL;MADFOR;PASEO;de la Florida;13;;;;;;28008;Madrid;HM-2079
HOSTAL;1-HOSTAL;EL RETIRO;CALLE;Aulencia;17;ENTERO;;;;;28280;Escorial, El;HM-2096
CASA HUESPEDES;CASA HUESPEDES;INFANTE;CALLE;del Infante;4;;;;1º;DCHA;28014;Madrid;HM-2100
PENSION;1-PENSION;RIVERA;PASEO;de Santa María de la Cabeza;2;;;;1;;;Madrid;HM-2107
CASA HUESPEDES;CASA HUESPEDES;ALTAMIR;CALLE;de Altamirano;36;;;;2º;;28008;Madrid;HM-2113
CASA HUESPEDES;CASA HUESPEDES;ALISTANA;CALLE;de Hortaleza;28;;;;2º;;28004;Madrid;HM-2119
HOTEL;4-HOTEL;OPERA;CUSTA;de Santo Domingo;2;;;;;;28013;Madrid;HM-2127
HOTEL;3-HOTEL;CASON DEL TORMES;CALLE;del Río;7;;;;;;28013;Madrid;HM-2129
