alojamiento_tipo;categoria;denominacion;via_tipo;via_nombre;numero;bloque;portal;escalera;planta;puerta;cdpostal;localidad;signatura
VIVIENDAS DE USO TU;SIN CATEGORIA;GENERAL LACY, 34, 1-12;CALLE;del General Lacy;34;;;;1;12;28045;Madrid;VT-11129
VIVIENDAS DE USO TU;SIN CATEGORIA;MINISTRILES, 6, 1 IZQ.;CALLE;de Ministriles;6;;;;1;IZQ.;28012;Madrid;VT-11130
VIVIENDAS DE USO TU;SIN CATEGORIA;AV. DONOSTIARRA, 27, 2-5;AVDA;de Donostiarra;27;;;;2;5;28027;Madrid;VT-11132
VIVIENDAS DE USO TU;SIN CATEGORIA;SAN LEOPOLDO, 68, 2B;CALLE;de San Leopoldo;68;;;;2;B;28029;Madrid;VT-11133
VIVIENDAS DE USO TU;SIN CATEGORIA;FUENCARRAL, 48, 4A;CALLE;de Fuencarral;48;;;;4;A;28004;Madrid;VT-11134
VIVIENDAS DE USO TU;SIN CATEGORIA;NEPTUNO, 11, BAJO;CALLE;Neptuno;11;;;;BAJO;;28232;Rozas de Madrid, Las;VT-11135
VIVIENDAS DE USO TU;SIN CATEGORIA;ATOCHA, 43, 5 EXT. DCHA 4;CALLE;de Atocha;43;;;Ext.;5;Dcha 4;28012;Madrid;VT-11136
VIVIENDAS DE USO TU;SIN CATEGORIA;CAVA DE SAN MIGUEL, 15, 2;CALLE;de la Cava de San Miguel;15;;;;2;;28005;Madrid;VT-11137
VIVIENDAS DE USO TU;SIN CATEGORIA;CAVA DE SAN MIGUEL, 15, 3;CALLE;de la Cava de San Miguel;15;;;;3;;28005;Madrid;VT-11138
VIVIENDAS DE USO TU;SIN CATEGORIA;SAN PEDRO, 20, BAJO;CALLE;de San Pedro;20;;;;BAJO;VP;28014;Madrid;VT-11139
VIVIENDAS DE USO TU;SIN CATEGORIA;TRES PECES, 8, 4 EXT. DCHA.;CALLE;de los Tres Peces;8;;;Ext.;4;Dcha.;28012;Madrid;VT-11141
VIVIENDAS DE USO TU;SIN CATEGORIA;PASEO DEL PRADO, 16, 7-706;PASEO;del Prado;16;;;;7;706;28014;Madrid;VT-11142
VIVIENDAS DE USO TU;SIN CATEGORIA;CONDE DE PEÑALVER, 30, BAJO F;CALLE;del Conde de Peñalver;30;;;;BAJO;F;28006;Madrid;VT-11143
VIVIENDAS DE USO TU;SIN CATEGORIA;MESÓN DE PAREDES, 19, BAJO INT.;CALLE;del Mesón de Paredes;19;;;;BAJO;INT.;28012;Madrid;VT-11144
VIVIENDAS DE USO TU;SIN CATEGORIA;THOMNAS EDISON, 4, PORTAL 1, 2-1214;CALLE;Tomas Edison;4;;1;;2;1214;28521;Rivas-Vaciamadrid;VT-11145
VIVIENDAS DE USO TU;SIN CATEGORIA;NAVES, 9, 1-18;CALLE;de las Naves;9;;;;1;18;28005;Madrid;VT-11146
VIVIENDAS DE USO TU;SIN CATEGORIA;PASEO DE LA HABANA, 24, 7-7;PASEO;de la Habana;24;;;;7;7;28036;Madrid;VT-11147
VIVIENDAS DE USO TU;SIN CATEGORIA;SAN ESTEBAN, 11, BAJO;CALLE;San Esteban;11;;;;BAJO;;28792;Miraflores de la Sierra;VT-11149
VIVIENDAS DE USO TU;SIN CATEGORIA;GRAN VIA, 47-2º PTA. H;CALLE;Gran Vía;47;;;;2;PTA. H;28013;Madrid;VT-11709
VIVIENDAS DE USO TU;SIN CATEGORIA;GRAN VIA, 47-2º PTA. G;CALLE;Gran Vía;47;;;;2;PTA. G;28013;Madrid;VT-11710
VIVIENDAS DE USO TU;SIN CATEGORIA;GRAN VIA, 47-2º PTA. F;CALLE;Gran Vía;47;;;;2;PTA. F;28013;Madrid;VT-11711
