ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TOTAL_ELEM
"9046352";"Circuito deportivo elemental";"126";"ZOFIO";"12";"USERA";"OPERATIVO";"439313.063";"4470663.782";"ETRS89";40.38435658;-3.71497719;"CALLE";"SAN ELIAS";"1";"28026";"SAN MAGIN";"11085146";"2022-10-05 00:00:00.0";"D1264";"AE21";8
"9049643";"Circuito deportivo elemental";"025";"DELICIAS";"02";"ARGANZUELA";"OPERATIVO";"441209.363";"4472167.743";"ETRS89";40.39804102;-3.69277652;"CALLE";"TOMAS BRETON";"47 A";"28045";"ALONSO MARTOS";"20007918";"2022-08-01 00:00:00.0";"D0255";"AE21";7
"9049653";"Circuito deportivo elemental";"133";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"OPERATIVO";"443865.105";"4470604.736";"ETRS89";40.38414378;-3.66134608;"CALLE";"LA DILIGENCIA";"6";"28018";"CV CALLE CANDILEJAS";"31043258";"2022-11-22 00:00:00.0";"D1368";"AE21";14
"9049658";"Circuito deportivo elemental";"163";"CANILLAS";"16";"HORTALEZA";"OPERATIVO";"445567.565";"4479412.846";"ETRS89";40.46360527;-3.64204399;"CALLE";"ALCORISA";"4";"28043";"Ctra · CARRETERA CANILLAS 98 , ASCENDIENTE 1: 163";"11116820";"2022-11-22 00:00:00.0";"D1666";"AE21";13
"9177985";"Circuito deportivo elemental";"117";"ABRANTES";"11";"CARABANCHEL";"OPERATIVO";"438862.257";"4470359.936";"ETRS89";40.38158642;-3.72025876;"CALLE";"VIA LUSITANA";"3";"28025";"PARQUE EMPERATRIZ MARIA DE AUSTRIA";"31035183";"2023-04-30 00:00:00.0";"D1164";"AE21";12
"9180738";"Circuito deportivo elemental";"132";"SAN DIEGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"443383.311";"4471164.249";"ETRS89";40.38915161;-3.66707163;"CALLE";"SIERRA DE ALQUIFE";"8";"28053";"DE LAS PALOMERAS,37";"11092598";"2023-01-05 00:00:00.0";"D1370";"AE21";8
"9187084";"Circuito deportivo elemental";"104";"ALUCHE";"10";"LATINA";"OPERATIVO";"435507.06";"4471479.611";"ETRS89";40.39141998;-3.75989621;"CALLE";"QUERO";"29";"28024";"PARQUE ALUCHE";"11065523";"2023-02-13 00:00:00.0";"D1070";"AE21";9
"9187543";"Circuito deportivo elemental";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"446909.936";"4469571.909";"ETRS89";40.37503897;-3.62538983;"CALLE";"SIERRA DE PALOMERAS";"40";"28031";"MARTIN MUÑOZ DE LAS POSADAS";"31008261";"2023-02-22 00:00:00.0";"D1871";"AE21";4
"9237040";"Circuito deportivo elemental";"115";"PUERTA BONITA";"11";"CARABANCHEL";"OPERATIVO";"437591.432";"4469708.984";"ETRS89";40.37562813;-3.73516535;"AVENIDA";"ABRANTES";"291";"28025";"BESOLLA";"31000690";"2023-03-31 00:00:00.0";"D1165";"AE21";9
"9243145";"Circuito deportivo elemental";"122";"ORCASUR";"12";"USERA";"OPERATIVO";"440903.46";"4468855.452";"ETRS89";40.36818047;-3.69607375;"CALLE";"ALERCE";"5";"28041";"CON PINSAPO";"20089216";"2022-08-18 00:00:00.0";"D1266";"AE21";10
"9261936";"Circuito deportivo elemental";"022";"ACACIAS";"02";"ARGANZUELA";"OPERATIVO";"439804.417";"4473048.973";"ETRS89";40.40587920;-3.70941425;"RONDA";"TOLEDO";"12";"28005";"CONCEJAL BENITO MARTIN LOZANO";"20007348";"2023-05-17 00:00:00.0";"D0256";"AE21";10
"9269361";"Circuito deportivo elemental";"081";"EL PARDO";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"434540.037";"4485349.897";"ETRS89";40.51629189;-3.77271935;"AVENIDA";"GUARDIA";"19";"28048";"PARQUE MAR OCEANA";"31022099";"2023-06-09 00:00:00.0";"D0874";"AE21";7
"9272789";"Circuito deportivo elemental";"124";"ALMENDRALES";"12";"USERA";"OPERATIVO";"440701.974";"4470399.585";"ETRS89";40.38207656;-3.69859045;"PLAZA";"CAMPO DE CRIPTANA";"3";"28026";"TOMELLOSO";"31012975";"2023-06-16 00:00:00.0";"D1267";"AE21";4
"9292077";"Circuito deportivo elemental";"027";"ATOCHA";"02";"ARGANZUELA";"OPERATIVO";"442351.53";"4471898.528";"ETRS89";40.39569564;-3.67929399;"CALLE";"MENDEZ ALVARO";"77 A";"28045";"PEDRO BOSCH";"20112157";"2023-07-21 00:00:00.0";"D0257";"AE21";7
"9294501";"Circuito deportivo elemental";"122";"ORCASUR";"12";"USERA";"OPERATIVO";"440522.601";"4469445.29";"ETRS89";40.37346697;-3.70061444;"CALLE";"MADRE ROSA BLANCO";"2";"28041";"PARQUE MIGUEL SARABIA GIL";"31018991";"2023-07-31 00:00:00.0";"D1269";"AE21";9
"9391954";"Circuito deportivo elemental";"126";"ZOFIO";"12";"USERA";"OPERATIVO";"439527.076";"4470583.255";"ETRS89";40.38364671;-3.71244836;"AVENIDA";"RAFAELA YBARRA";"4";"28026";"RAFAELA YBARRA 4";"20025114";"2023-12-18 00:00:00.0";"D1270";"AE21";8
"9397047";"Circuito deportivo elemental";"131";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"OPERATIVO";"442626.712";"4470503.1";"ETRS89";40.38314383;-3.67592594;"RONDA";"SUR";"2";"28053";"C/ LAGARTERA";"31012755";"2023-11-28 00:00:00.0";"D1373";"AE21";10
"9403201";"Circuito deportivo elemental";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"446943.396";"4469223.298";"ETRS89";40.37190057;-3.62496668;"CALLE";"NAVAMURES";"25";"28031";"PUERTO DE PORZUNA,50";"31025565";"2023-12-12 00:00:00.0";"D1872";"AE21";6
"9438309";"Circuito deportivo elemental";"085";"LA PAZ";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"440362.071";"4481515.544";"ETRS89";40.48218984;-3.70363757;"CALLE";"PEDRO RICO";"49";"28029";"CV  C/FINISTERRE";"20098055";"2024-03-26 00:00:00.0";"D0875";"AE21";10
"9492616";"Circuito deportivo elemental";"083";"PEÑAGRANDE";"08";"FUENCARRAL - EL PARDO";"OPERATIVO";"437910.559";"4482004.369";"ETRS89";40.48641363;-3.73260739;"CALLE";"ARROYO DEL MONTE";"17";"28049";"ARROYO DEL MONTE 17";"31055760";"2024-02-14 00:00:00.0";"D0877";"AE21";5
"9492997";"Circuito deportivo elemental";"054";"HISPANOAMERICA";"05";"CHAMARTIN";"OPERATIVO";"442785.525";"4478565.593";"ETRS89";40.45578590;-3.67478036;"CALLE";"PUERTO RICO";"27";"28016";"PUERTO RICO 27";"11025193";"2024-03-07 00:00:00.0";"D0507";"AE21";15
